;;;;Clase;Frecuencia;Probabilidad ;Probabilidad*log2(Probabilidad)
Altura (cm);Peso (kg);Talla (cm);Clase;Alto;11;0,22;0,480573406
166;69;86;Alto;Mediano;28;0,56;0,46844071
163;63;81;Mediano;Bajo;11;0,22;0,480573406
171;48;88;Bajo;ENTROPIA TOTAL;;;1,429587521
133;95;84;Bajo;;;;
142;51;94;Mediano;;;;
174;74;93;Mediano;;;;
110;98;93;Bajo;;;;
176;77;84;Mediano;;;;
104;84;93;Mediano;;;;
133;89;82;Mediano;;;;
144;82;80;Mediano;;;;
168;40;71;Mediano;;;;
141;58;82;Mediano;;;;
172;72;98;Mediano;;;;
168;74;93;Mediano;;;;
144;42;80;Bajo;;;;
168;53;74;Alto;;;;
124;88;93;Alto;;;;
154;41;72;Alto;;;;
200;98;91;Alto;;;;
131;90;91;Alto;;;;
148;73;74;Mediano;;;;
128;40;88;Bajo;;;;
133;55;88;Bajo;;;;
156;50;91;Mediano;;;;
139;93;89;Mediano;;;;
175;58;98;Bajo;;;;
118;45;87;Mediano;;;;
157;52;89;Mediano;;;;
147;42;85;Mediano;;;;
187;80;98;Mediano;;;;
165;98;79;Mediano;;;;
141;92;74;Mediano;;;;
184;100;91;Mediano;;;;
193;67;100;Mediano;;;;
179;60;81;Bajo;;;;
107;95;76;Alto;;;;
137;58;93;Alto;;;;
109;42;95;Alto;;;;
106;68;99;Alto;;;;
136;53;100;Alto;;;;
145;47;100;Mediano;;;;
184;56;87;Bajo;;;;
100;56;77;Bajo;;;;
116;96;84;Mediano;;;;
155;94;83;Mediano;;;;
103;86;96;Bajo;;;;
170;84;72;Mediano;;;;
156;56;88;Mediano;;;;
190;92;99;Mediano;;;;
